customer_id,customer_name,city,state,region,signup_date
40,Sr. Théo da Costa,Rios do Amparo,RS,Sul,2023-06-17
41,Vitor Hugo Cardoso,da Cruz de Viana,PE,Nordeste,2024-01-24
42,Maria Luísa Correia,Brito,PR,Sul,2024-10-17
43,Marina Fogaça,Jesus dos Dourados,CE,Nordeste,2023-08-13
44,Srta. Beatriz Araújo,Siqueira Alegre,SC,Sul,2023-02-27
45,Josué Correia,Nascimento,RS,Sul,2023-02-02
46,Cecilia Lima,da Mota,SC,Sul,2024-02-15
47,Isadora Barbosa,Novaes de Brito,PR,Sul,2023-03-09
48,Vitor Hugo Albuquerque,Sá,RS,Sul,2024-08-03
49,Enzo Jesus,Mendes de Cunha,SC,Sul,2023-08-06
50,Ana Liz Cavalcante,Abreu das Flores,PE,Nordeste,2024-02-10
51,Rafael da Paz,Sampaio da Prata,PE,Nordeste,2023-05-27
52,Raquel Cassiano,da Rocha,PR,Sul,2023-05-23
53,Benjamin Pacheco,Souza,RS,Sul,2024-07-28
54,Sr. Benicio Pacheco,Montenegro de Moura,CE,Nordeste,2023-09-27
55,Benjamin Moraes,Cirino,BA,Nordeste,2024-08-20
56,Bernardo Rocha,Guerra,BA,Nordeste,2024-01-06
57,Josué Pacheco,Pinto,RS,Sul,2023-05-22
58,Otto Ribeiro,da Luz do Oeste,CE,Nordeste,2024-05-20
59,Luara da Costa,Gonçalves Grande,RJ,Sudeste,2023-02-18
60,Letícia Marques,Sá de Minas,RJ,Sudeste,2023-06-06
61,Raul Pinto,Barbosa,MG,Sudeste,2024-11-27
62,Hadassa Montenegro,Cardoso da Praia,BA,Nordeste,2024-09-02
63,Joaquim Freitas,Castro dos Dourados,RJ,Sudeste,2024-01-30
64,Liz Pimenta,Rios,BA,Nordeste,2024-09-02
65,Letícia Ribeiro,Carvalho,PE,Nordeste,2024-06-25
66,Danilo Caldeira,da Mata,PR,Sul,2024-07-20
67,Gustavo Henrique Silva,Costela Paulista,SP,Sudeste,2024-11-27
68,Rebeca da Cunha,Borges,RJ,Sudeste,2024-11-29
69,Mariana da Mota,Abreu,CE,Nordeste,2023-10-01
70,Sr. João Castro,Novaes de Santos,SC,Sul,2023-04-25
71,Alexia Camargo,Sales,PR,Sul,2024-03-21
72,Yago Andrade,Pacheco da Prata,MG,Sudeste,2024-04-09
73,Pedro Cardoso,das Neves,SP,Sudeste,2023-09-27
74,Sr. Luiz Henrique Costela,Rios,CE,Nordeste,2023-07-02
75,Luiz Gustavo Vasconcelos,Pinto Grande,CE,Nordeste,2023-04-19
76,Enrico Cavalcanti,Alves da Serra,PR,Sul,2024-10-16
77,Sra. Maria Sophia Rios,da Mata,CE,Nordeste,2024-09-15
78,Cauê Garcia,Melo,RS,Sul,2023-06-06
79,Guilherme Marques,das Neves de Goiás,SC,Sul,2023-06-15
80,Apollo Ribeiro,Guerra,CE,Nordeste,2024-06-27
81,Dr. Bernardo Vargas,Ferreira do Galho,SP,Sudeste,2024-09-05
82,Zoe Farias,Camargo,SC,Sul,2024-05-15
83,Felipe Pacheco,Andrade do Campo,SP,Sudeste,2023-04-25
84,Maya Ferreira,Lopes do Galho,SC,Sul,2023-11-11
85,Matheus Oliveira,da Cunha,RS,Sul,2023-03-01
86,Pedro Henrique Abreu,Fonseca,RS,Sul,2024-08-03
87,Ana Lívia Rios,Pinto Alegre,RJ,Sudeste,2023-03-29
88,Camila Silveira,Montenegro da Mata,PE,Nordeste,2023-03-12
89,Maria Luísa Duarte,Sampaio da Mata,CE,Nordeste,2023-05-09
90,Carolina Correia,Rios das Flores,MG,Sudeste,2024-11-06
91,Emanuella Pimenta,Guerra da Prata,PE,Nordeste,2024-07-16
92,Kevin da Paz,Lopes,MG,Sudeste,2023-09-29
93,Luna Martins,Macedo de Rocha,CE,Nordeste,2024-09-13
94,Thomas Melo,Ribeiro,BA,Nordeste,2023-08-05
95,João Miguel Moraes,Borges de Goiás,CE,Nordeste,2024-12-07
96,Luana Câmara,Casa Grande,RS,Sul,2024-12-31
97,Augusto da Cruz,Pimenta de Vargas,PR,Sul,2024-02-13
98,Rafael Leão,Silva,SC,Sul,2024-03-24
99,Sra. Sabrina Guerra,Casa Grande,CE,Nordeste,2024-04-07
100,Alana Sá,Vasconcelos,RJ,Sudeste,2023-09-11
101,Hellena Cavalcanti,Aragão de Novais,RS,Sul,2023-03-07
102,Davi Marques,Martins,SC,Sul,2023-01-22
103,Vitória Novais,Sá dos Dourados,CE,Nordeste,2023-08-24
104,Sofia Lima,Castro de Souza,RS,Sul,2023-01-08
105,Milena da Luz,Porto,RJ,Sudeste,2024-12-25
106,Vicente Mendonça,da Mota,SP,Sudeste,2023-08-23
107,Ana Vitória Silva,da Costa Paulista,RJ,Sudeste,2023-02-02
108,Dr. Vitor Hugo Barros,Cassiano,SC,Sul,2023-03-14
109,Matheus Sales,Santos,CE,Nordeste,2023-09-01
110,Benício Leão,Farias da Prata,PR,Sul,2024-11-16
111,Maria Vitória Araújo,Leão,PE,Nordeste,2023-08-08
112,Alícia Teixeira,Mendes do Sul,CE,Nordeste,2023-05-16
113,Dr. Mathias Leão,Mendonça,PE,Nordeste,2023-09-06
114,João Gabriel Lopes,Alves de Gomes,PE,Nordeste,2024-02-21
115,Dr. Enzo Martins,Pinto,RS,Sul,2023-04-07
116,Amanda Gonçalves,Barros,RJ,Sudeste,2024-11-05
117,Mariane Carvalho,Cirino de Aragão,BA,Nordeste,2023-12-29
118,Mateus Duarte,Marques,BA,Nordeste,2024-02-25
119,Dr. Mateus da Mota,da Cunha de Minas,PE,Nordeste,2023-02-25
120,Allana Souza,Ferreira,RJ,Sudeste,2023-03-04
121,Bernardo Vasconcelos,Sá,BA,Nordeste,2023-12-14
122,Josué Costa,Pinto,RJ,Sudeste,2023-09-12
123,Isaque Cardoso,Rios de Camargo,RS,Sul,2023-07-14
124,Helena Martins,Vargas da Praia,CE,Nordeste,2024-04-04
125,Danilo Vasconcelos,das Neves,MG,Sudeste,2024-03-08
126,Apollo das Neves,Gonçalves do Oeste,MG,Sudeste,2023-10-13
127,Joaquim Caldeira,Rodrigues do Campo,PE,Nordeste,2023-09-13
128,Ana Cecília Ferreira,Ribeiro da Praia,RJ,Sudeste,2024-03-29
129,Thiago Ramos,Albuquerque das Pedras,CE,Nordeste,2023-04-11
130,Bianca Lopes,Porto dos Dourados,SP,Sudeste,2024-10-29
131,Srta. Maya Cavalcanti,Pimenta da Prata,CE,Nordeste,2023-01-16
132,Nina Lopes,Duarte de Goiás,RJ,Sudeste,2023-08-31
133,João Lucas Machado,Sá,MG,Sudeste,2024-02-21
134,Maria Helena Fernandes,Monteiro,PE,Nordeste,2024-05-07
135,Sr. Ryan Cunha,da Luz Alegre,RS,Sul,2024-02-15
136,João Guilherme Novais,Moreira,SP,Sudeste,2023-06-18
137,Bryan da Costa,Mendonça da Prata,BA,Nordeste,2023-01-03
138,Renan Ramos,Machado de Vieira,BA,Nordeste,2023-09-29
139,Caleb da Rocha,Guerra,PE,Nordeste,2023-10-20
140,Srta. Lorena Ribeiro,Melo da Prata,BA,Nordeste,2024-12-14
141,Manuella Lima,Fogaça dos Dourados,CE,Nordeste,2024-11-08
142,Leandro da Cunha,Campos,PE,Nordeste,2023-06-08
143,Srta. Luara Campos,Correia,RS,Sul,2023-10-31
144,Rodrigo da Mota,Brito do Oeste,RS,Sul,2023-03-01
145,Ian Fonseca,da Rosa,CE,Nordeste,2023-03-04
146,Vitor Cardoso,Aparecida do Norte,SC,Sul,2023-02-28
147,Lavínia Sampaio,Porto,SP,Sudeste,2024-08-21
148,Bella Albuquerque,Melo do Amparo,PE,Nordeste,2024-05-29
149,Manuela Cirino,da Cunha,CE,Nordeste,2023-06-11
150,Bruna Azevedo,Mendonça de Minas,SP,Sudeste,2024-06-04
151,Ana Júlia Cassiano,Nunes,RJ,Sudeste,2023-07-10
152,Bryan da Cruz,Novais,RJ,Sudeste,2024-09-01
153,Heloisa Vasconcelos,Machado dos Dourados,RJ,Sudeste,2024-11-22
154,Paulo das Neves,Pimenta,RS,Sul,2024-02-18
155,Srta. Giovanna Pires,da Luz,RJ,Sudeste,2024-08-06
156,Anna Liz Castro,Cavalcanti,RS,Sul,2024-08-15
157,Ana Vitória Castro,Jesus,SP,Sudeste,2024-09-26
158,Olivia da Rocha,da Conceição,RJ,Sudeste,2024-03-05
159,João Miguel Sampaio,Barbosa de Rodrigues,CE,Nordeste,2023-11-20
160,João Viana,Lima,PR,Sul,2023-07-29
161,Yago Câmara,da Mata,SC,Sul,2023-09-02
162,Brayan Araújo,Vieira,PR,Sul,2024-02-10
163,João Pedro Macedo,Martins,MG,Sudeste,2024-11-18
164,Sra. Maria Luiza da Mata,Macedo de Barros,PR,Sul,2024-04-13
165,Ana Cecília Lopes,Pereira Paulista,SC,Sul,2023-03-16
166,Caleb da Conceição,Teixeira,SP,Sudeste,2024-04-14
167,Juliana Oliveira,Teixeira,RJ,Sudeste,2023-03-17
168,Ravy Moreira,da Mota de Cirino,CE,Nordeste,2023-08-07
169,Maya Porto,Borges de Melo,CE,Nordeste,2023-09-29
170,Dr. Lucas Gabriel Duarte,Castro,MG,Sudeste,2023-12-24
171,Dr. Thales da Paz,Teixeira da Prata,RJ,Sudeste,2023-09-08
172,Rafael Borges,da Cunha Alegre,SC,Sul,2023-10-19
173,Nathan Moraes,Ribeiro,MG,Sudeste,2024-03-24
174,Nicole Jesus,Correia,CE,Nordeste,2024-12-21
175,Maria Cecília Pinto,Pires de Macedo,PR,Sul,2024-09-18
176,Gustavo da Mata,da Paz,CE,Nordeste,2023-01-09
177,Raquel Campos,Pires,CE,Nordeste,2023-11-03
178,Isabella Santos,das Neves,RJ,Sudeste,2023-05-18
179,Alice Novaes,Borges de Goiás,PR,Sul,2023-04-29
180,Ravi Campos,Monteiro,RJ,Sudeste,2024-07-20
181,Sra. Sophia Santos,Leão do Amparo,MG,Sudeste,2023-10-06
182,Isabelly Marques,Gomes,PR,Sul,2024-09-11
183,Thomas Souza,Azevedo,RS,Sul,2023-12-18
184,Oliver Fernandes,Abreu da Mata,RS,Sul,2024-12-04
185,Sra. Rebeca Cassiano,Nascimento de Mendes,PR,Sul,2024-06-01
186,Dr. Yuri Teixeira,Marques Alegre,PE,Nordeste,2023-09-15
187,Isaque Oliveira,da Conceição das Pedras,SP,Sudeste,2023-04-05
188,Liam Souza,Santos de Garcia,BA,Nordeste,2023-10-11
189,Clarice Monteiro,Cardoso,SP,Sudeste,2023-01-04
190,Luísa Brito,Brito de Moura,SC,Sul,2023-05-14
191,Alice Silveira,Jesus,PR,Sul,2023-06-15
192,Daniela Barbosa,Viana de da Luz,PE,Nordeste,2024-07-18
193,Dr. Bruno Farias,Dias do Amparo,BA,Nordeste,2024-07-28
194,Ana Carolina Pinto,da Costa,SP,Sudeste,2023-04-25
195,Laura da Conceição,Lopes,RJ,Sudeste,2024-12-08
196,Carlos Eduardo Macedo,Sales,MG,Sudeste,2024-07-12
197,Arthur Aparecida,Vieira do Norte,SP,Sudeste,2024-01-14
198,Luiz Henrique Freitas,Casa Grande de Goiás,CE,Nordeste,2023-06-01
199,Maria Sophia Nunes,Cavalcante,BA,Nordeste,2023-05-11
200,Bruno Pimenta,Pinto de Goiás,SP,Sudeste,2023-11-12
201,Cecília da Conceição,Porto de da Cunha,SC,Sul,2023-02-10
202,Jade Rios,Martins,SC,Sul,2023-08-04
203,Yago Castro,Macedo,RS,Sul,2024-11-13
204,Dr. Otávio Sales,Marques da Mata,RJ,Sudeste,2023-12-29
205,Matheus Mendes,da Costa,CE,Nordeste,2024-02-21
206,Maria Alice Oliveira,Sampaio da Mata,MG,Sudeste,2023-08-31
207,Miguel da Mota,Nunes,MG,Sudeste,2023-07-01
208,Ana Julia Pereira,da Paz de Vasconcelos,BA,Nordeste,2023-01-26
209,Luiz Gustavo Câmara,Pinto,MG,Sudeste,2023-12-07
210,Davi Miguel Pires,Pires,BA,Nordeste,2024-11-16
211,Ana Cecília das Neves,Andrade de Pacheco,RS,Sul,2023-10-01
212,Sr. Caleb da Rocha,Souza das Pedras,MG,Sudeste,2024-12-19
213,Guilherme Cardoso,Moura do Galho,RJ,Sudeste,2024-01-27
214,Enzo da Cunha,da Rocha de Souza,SP,Sudeste,2024-04-26
215,Sr. Ravi Lucca Barbosa,Sá,RS,Sul,2023-07-24
216,Miguel Novais,Borges das Flores,PE,Nordeste,2023-12-25
217,João Nascimento,Marques,PR,Sul,2023-08-22
218,Dr. Mateus Porto,Caldeira de Goiás,RS,Sul,2023-01-25
219,Amanda Pinto,Pimenta de Goiás,RS,Sul,2024-02-13
220,Ana Luiza Porto,Sampaio de da Rosa,SC,Sul,2023-10-13
221,Maria Luísa Camargo,Aparecida,RJ,Sudeste,2023-10-13
222,Kevin Monteiro,Brito,SC,Sul,2024-10-18
223,Vitor Gabriel Carvalho,Marques da Praia,CE,Nordeste,2024-02-14
224,Ágatha Leão,Leão,CE,Nordeste,2023-12-06
225,Beatriz Mendonça,da Mota do Norte,SP,Sudeste,2023-04-29
226,Sra. Helena Macedo,da Costa de Fonseca,PR,Sul,2023-07-02
227,Léo Nogueira,Araújo das Flores,PR,Sul,2023-02-09
228,Gabriel Campos,Borges de Ribeiro,RJ,Sudeste,2024-09-02
229,Antônio Aragão,da Cruz Grande,BA,Nordeste,2023-12-20
230,Gabrielly Azevedo,Pastor,SC,Sul,2024-03-22
231,Igor Farias,Viana,CE,Nordeste,2023-04-29
232,Agatha da Mota,Cardoso,BA,Nordeste,2024-08-13
233,Isis Cavalcanti,Ribeiro,RS,Sul,2023-09-18
234,Davi Lucca Albuquerque,Vieira de Goiás,SP,Sudeste,2024-12-26
235,Luna Almeida,da Luz,BA,Nordeste,2023-01-02
236,Davi Lucas Sousa,Moura do Campo,CE,Nordeste,2024-07-05
237,Srta. Olívia Machado,Moraes Verde,RS,Sul,2024-01-08
238,Rael Montenegro,Pimenta,BA,Nordeste,2023-03-13
239,Vicente da Rosa,Ramos de Alves,SC,Sul,2024-09-30
240,Rhavi Guerra,Rodrigues do Campo,SC,Sul,2024-11-10
241,Melina Barbosa,Duarte,RJ,Sudeste,2023-11-04
242,Clara Azevedo,da Mota,CE,Nordeste,2023-11-13
243,Lunna Garcia,Marques do Galho,BA,Nordeste,2023-12-01
244,Marina Brito,Rezende,BA,Nordeste,2024-12-14
245,Helena Lopes,da Conceição de Jesus,PR,Sul,2024-07-21
246,Dr. Murilo Leão,Dias,MG,Sudeste,2023-07-16
247,Luara Rios,Freitas Grande,BA,Nordeste,2024-11-11
248,Olívia Azevedo,Barros,BA,Nordeste,2024-11-24
249,Pedro Brito,Cardoso da Prata,MG,Sudeste,2024-09-22
250,Lucas Rios,Jesus,PR,Sul,2024-02-20
251,Dr. Benjamim da Paz,Fogaça do Campo,CE,Nordeste,2023-01-01
252,Sofia Cunha,Ribeiro,PR,Sul,2023-10-21
253,Heloisa Caldeira,Novais da Praia,RS,Sul,2024-03-16
254,João Lucas Oliveira,Lima,SC,Sul,2024-04-21
255,Amanda Pereira,Alves da Serra,PE,Nordeste,2024-03-28
256,Leonardo Fernandes,Abreu da Serra,RS,Sul,2024-06-07
257,Murilo Azevedo,Sousa,PE,Nordeste,2023-06-23
258,Ana Borges,Garcia,RJ,Sudeste,2023-10-18
259,Mirella Fernandes,Freitas,CE,Nordeste,2024-11-10
260,Luan Vasconcelos,Aragão,SC,Sul,2023-04-06
261,Emanuel Sá,Rocha,RS,Sul,2024-11-19
262,João Gabriel Macedo,Mendonça dos Dourados,PR,Sul,2023-08-19
263,Júlia Cunha,Ferreira,RS,Sul,2023-05-31
264,Brenda da Paz,Moura de Rios,SP,Sudeste,2023-02-17
265,Augusto Câmara,Peixoto do Norte,RS,Sul,2024-05-01
266,Gustavo da Rosa,Vargas,RJ,Sudeste,2024-04-11
267,José Miguel da Rocha,Campos do Sul,BA,Nordeste,2024-10-06
268,Marina Cavalcanti,Garcia,RS,Sul,2024-12-14
269,Heloísa Montenegro,Barbosa das Flores,BA,Nordeste,2024-05-21
270,Srta. Maya Almeida,Barbosa de Dias,BA,Nordeste,2023-09-07
271,Mariane Oliveira,Santos das Pedras,MG,Sudeste,2024-11-02
272,Danilo Guerra,Duarte,SP,Sudeste,2023-04-20
273,Raul Sales,Borges das Pedras,BA,Nordeste,2023-08-13
274,Joaquim Lopes,Moura de Minas,MG,Sudeste,2024-12-13
275,Luana Souza,Câmara Alegre,CE,Nordeste,2024-04-20
276,Breno Moraes,Moura,SP,Sudeste,2024-07-24
277,Evelyn Vasconcelos,Ferreira Grande,RS,Sul,2023-05-05
278,Cauã Casa Grande,Costa da Serra,PE,Nordeste,2023-05-17
279,Daniela Teixeira,Cavalcanti,PE,Nordeste,2024-11-14
280,Sabrina Martins,Rodrigues de Nunes,CE,Nordeste,2024-07-26
281,Luna Pires,Cassiano dos Dourados,SC,Sul,2024-03-29
282,Ravy Macedo,Vieira Paulista,CE,Nordeste,2024-03-12
283,Ana Laura Fogaça,das Neves,CE,Nordeste,2024-04-01
284,Milena Andrade,Freitas,MG,Sudeste,2024-05-01
285,Breno Ramos,Pimenta,PE,Nordeste,2023-09-23
286,Sofia Gomes,Pacheco de Novaes,RS,Sul,2024-10-14
287,Srta. Milena Oliveira,Duarte,PR,Sul,2024-06-17
288,Olívia Montenegro,Araújo,PE,Nordeste,2024-10-03
289,Bella Fernandes,Montenegro,RS,Sul,2023-10-09
290,Emanuella Aparecida,Santos,PE,Nordeste,2023-03-21
291,Maysa Moura,Fonseca,PR,Sul,2023-08-29
292,Dr. Mathias Jesus,Rocha do Norte,PR,Sul,2023-12-10
293,Lívia Azevedo,Brito da Prata,SC,Sul,2024-07-07
294,Maria Isis da Paz,Silveira Grande,RJ,Sudeste,2023-05-22
295,Sr. Diego Ferreira,Rezende das Flores,MG,Sudeste,2023-08-25
296,Bryan das Neves,Ramos Alegre,BA,Nordeste,2024-12-11
297,Vinicius Borges,Moraes da Praia,MG,Sudeste,2024-12-24
298,Luiz Miguel das Neves,Cunha,RS,Sul,2023-03-07
299,Dr. Gael Câmara,Cassiano,BA,Nordeste,2024-02-22
300,Juan Viana,Montenegro,SC,Sul,2024-07-09
301,Valentina Andrade,Vargas Grande,PE,Nordeste,2024-03-01
302,Maria Flor Cassiano,Cirino,SP,Sudeste,2023-07-31
303,Dra. Eloah Silveira,Aparecida de Jesus,BA,Nordeste,2024-02-03
304,Sr. Pedro Miguel Pimenta,Sá dos Dourados,SP,Sudeste,2024-08-12
305,Vitor da Costa,Viana do Amparo,BA,Nordeste,2024-05-03
306,Léo Rocha,Martins de Vargas,SP,Sudeste,2023-12-27
307,Mateus Montenegro,Castro do Oeste,PR,Sul,2024-02-04
308,Cecilia da Cunha,Ramos,BA,Nordeste,2024-07-05
309,Maria Fernanda Novaes,Silva,CE,Nordeste,2024-09-09
310,Camila da Paz,Teixeira,RS,Sul,2024-05-14
311,João Gabriel Machado,Lopes,RS,Sul,2023-10-07
312,Henry Machado,Alves das Pedras,BA,Nordeste,2024-05-12
313,Miguel Montenegro,da Costa das Flores,SP,Sudeste,2024-02-03
314,Marcelo Câmara,Dias,SC,Sul,2024-11-15
315,Lucas Gabriel Vieira,Carvalho,BA,Nordeste,2023-06-19
316,João Pedro Melo,Teixeira,PE,Nordeste,2023-05-11
317,Sra. Melissa Pimenta,Barros,CE,Nordeste,2023-01-28
318,José Miguel Cunha,Novaes,BA,Nordeste,2024-08-29
319,Dra. Vitória Lima,Vasconcelos,SP,Sudeste,2023-03-27
320,Isaac da Rosa,Aragão,BA,Nordeste,2023-05-19
321,Otto Porto,Azevedo de Camargo,PE,Nordeste,2023-07-06
322,Zoe Almeida,Silva,SP,Sudeste,2023-09-24
323,João Vitor Lima,Pimenta,BA,Nordeste,2023-12-02
324,Sr. Oliver Cirino,Moura,RS,Sul,2024-04-10
325,Sr. Vinicius Nogueira,Gomes,SC,Sul,2023-12-12
326,Ana Clara Porto,Freitas Paulista,BA,Nordeste,2023-10-12
327,Srta. Maria Alice Viana,Ferreira,BA,Nordeste,2023-09-16
328,Cauã Vargas,Carvalho do Norte,RJ,Sudeste,2024-04-26
329,Dr. Erick Vasconcelos,Sampaio de Mendes,SP,Sudeste,2024-07-06
330,Emilly Carvalho,Silva,SP,Sudeste,2023-12-25
331,Ana Carolina da Rocha,Aparecida,RS,Sul,2024-10-27
332,Asafe Dias,Moraes das Flores,RJ,Sudeste,2024-10-29
333,Olívia da Cunha,Sá,SP,Sudeste,2023-02-01
334,Esther da Paz,Vasconcelos do Norte,RS,Sul,2023-07-24
335,Luísa da Mata,Freitas,SP,Sudeste,2024-09-28
336,Maria Liz Souza,Gomes de Fernandes,MG,Sudeste,2023-09-02
337,Theo Sales,Freitas de Moreira,MG,Sudeste,2024-04-29
338,Bryan Siqueira,Barros das Pedras,RJ,Sudeste,2024-07-31
339,Emilly Nogueira,Duarte do Campo,RS,Sul,2024-04-21
340,Luan Ribeiro,das Neves dos Dourados,PR,Sul,2024-01-13
341,Mariane Cavalcante,Ferreira de Machado,MG,Sudeste,2024-09-12
342,Luiz Gustavo Pimenta,da Mota do Norte,RJ,Sudeste,2023-06-17
343,Nathan Fonseca,Alves,PR,Sul,2023-04-21
344,Pedro Lucas Andrade,Azevedo,SP,Sudeste,2023-11-16
345,Luiz Otávio Fonseca,Nunes do Norte,BA,Nordeste,2024-02-11
346,Daniela Rocha,Freitas de Freitas,RS,Sul,2023-03-19
347,Ana Vitória Oliveira,Moura,RS,Sul,2023-04-15
348,Dr. Levi Rezende,da Cruz do Campo,PR,Sul,2024-12-01
349,Francisco Monteiro,Novais do Campo,RJ,Sudeste,2024-08-02
350,José Pedro Santos,Cunha de Pimenta,SP,Sudeste,2023-12-22
351,Samuel Costa,Carvalho,CE,Nordeste,2024-03-14
352,Rael Cavalcanti,Borges de Rodrigues,SC,Sul,2023-03-12
353,Dr. Benício Novaes,da Rosa da Serra,CE,Nordeste,2024-10-25
354,Dra. Emanuella Vieira,Moraes de Goiás,SC,Sul,2023-01-13
355,Guilherme Vieira,da Costa,BA,Nordeste,2024-05-16
356,Amanda Fonseca,Martins da Prata,RJ,Sudeste,2024-03-19
357,Caio Azevedo,Gonçalves do Amparo,SC,Sul,2024-10-12
358,Maria Sophia Vargas,Oliveira de Minas,PE,Nordeste,2024-12-25
359,Liam Ramos,Machado,MG,Sudeste,2024-03-21
360,Stella Ferreira,Vasconcelos,MG,Sudeste,2024-06-18
361,Emilly Vargas,Lopes,PR,Sul,2024-09-22
362,Ana Laura Campos,da Rosa,CE,Nordeste,2024-05-10
363,Enrico Duarte,Ferreira,PE,Nordeste,2024-03-22
364,Larissa Barros,Costa da Prata,PR,Sul,2023-11-27
365,Davi Lucas Pires,Pimenta da Prata,RS,Sul,2023-03-30
366,Theodoro Ramos,Pastor,PR,Sul,2024-04-06
367,Daniela Cavalcante,Nunes do Norte,RS,Sul,2024-04-20
368,Bruno Aparecida,Rezende do Oeste,BA,Nordeste,2023-12-11
369,Maria Vitória Pinto,Monteiro,SP,Sudeste,2024-05-21
370,Ísis da Rocha,Mendes de Goiás,SC,Sul,2023-07-06
371,Maria Luiza da Rosa,Barbosa de Sales,PE,Nordeste,2023-08-06
372,Emanuel Macedo,Mendes dos Dourados,SC,Sul,2023-09-22
373,Luigi Pereira,Dias,SC,Sul,2023-10-14
374,Sra. Manuella Guerra,Teixeira,PR,Sul,2024-07-23
375,Sr. Liam da Costa,Campos de da Mata,SP,Sudeste,2024-06-13
376,Isadora Casa Grande,Aragão,RS,Sul,2023-03-29
377,Matheus Pimenta,da Cruz da Serra,RS,Sul,2024-02-21
378,Dr. Gabriel Teixeira,Monteiro,PE,Nordeste,2024-07-22
379,Nina Monteiro,Monteiro do Sul,RS,Sul,2024-12-08
380,Matteo Montenegro,da Costa de Cunha,PE,Nordeste,2024-10-23
381,Maria Aragão,da Paz,PE,Nordeste,2024-04-03
382,Olivia da Paz,Caldeira,SP,Sudeste,2023-04-06
383,Catarina da Luz,Teixeira das Flores,PR,Sul,2023-08-15
384,Sr. Murilo Aragão,Fonseca,BA,Nordeste,2024-12-09
385,Laura Barbosa,Montenegro dos Dourados,RS,Sul,2023-11-10
386,Lara Pinto,Cardoso,SC,Sul,2024-04-29
387,Matteo Freitas,Novais da Praia,CE,Nordeste,2024-06-27
388,Gael Henrique Pereira,Montenegro do Norte,SC,Sul,2024-03-11
389,Arthur Miguel Carvalho,Melo do Galho,CE,Nordeste,2023-12-05
390,Clarice Pereira,Duarte,SC,Sul,2024-12-20
391,Luiza Castro,Pimenta da Mata,PE,Nordeste,2023-10-05
392,Maitê Montenegro,Santos de Nunes,PR,Sul,2023-09-15
393,Renan Almeida,Farias do Campo,RS,Sul,2023-05-04
394,Lorena Vieira,Peixoto,RS,Sul,2023-11-20
395,Julia Rezende,Silveira,RJ,Sudeste,2024-07-02
396,Rhavi Cavalcante,Casa Grande de Goiás,MG,Sudeste,2023-07-16
397,Daniel Correia,Macedo,RS,Sul,2024-05-10
398,Dr. Dom Jesus,Jesus,PR,Sul,2024-08-26
